Paket_id,Vikt,Förtjänst,Deadline
1080941076,7.5,4,2
1080941077,7.0,1,-1
1080941078,5.5,7,3
1080941079,8.1,8,0
1080941080,3.2,3,2
1080941081,6.3,3,1
1080941082,6.0,3,-1
1080941083,2.5,3,4
1080941084,6.8,4,2
1080941085,9.2,2,0
1080941086,5.3,2,3
1080941087,11.2,6,0
1080941088,5.5,7,0
1080941089,8.9,4,1
1080941090,6.2,7,4
1080941091,3.2,3,0
1080941092,8.9,4,0
1080941093,3.2,5,1
1080941094,6.5,7,3
1080941095,9.2,3,4
1080941096,5.3,7,1
1080941097,3.2,8,2
1080941098,4.5,7,0
1080941099,5.5,5,3
1080941100,5.2,5,1
1080941101,2.4,7,3
1080941102,5.3,8,0
1080941103,5.7,3,-1
1080941104,7.3,4,1
1080941105,6.4,4,0
1080941106,6.5,10,0
1080941107,5.1,3,0
1080941108,5.5,6,2
1080941109,8.5,4,1
1080941110,10.9,7,2
1080941111,7.8,5,3
1080941112,8.1,3,2
1080941113,4.5,9,1
1080941114,8.8,7,0
1080941115,6.1,5,2
1080941116,3.5,1,0
1080941117,6.8,2,1
1080941118,9.1,5,0
1080941119,3.9,6,1
1080941120,3.1,8,0
1080941121,3.7,7,0
1080941122,6.3,3,2
1080941123,4.8,4,1
1080941124,9.8,6,5
1080941125,4.9,6,1
