Paket_id,Vikt,Förtjänst,Deadline
7083808671,6.8,5,2
7083808672,8.2,7,1
7083808673,3.2,6,2
7083808674,4.3,4,2
7083808675,7.8,2,5
7083808676,7.7,8,2
7083808677,2.0,8,0
7083808678,3.5,6,2
7083808679,4.0,2,1
7083808680,6.4,8,3
7083808681,5.1,5,0
7083808682,9.4,4,2
7083808683,3.4,5,0
7083808684,4.8,3,-1
7083808685,4.6,4,-1
7083808686,3.1,5,1
7083808687,6.2,8,2
7083808688,8.6,5,2
7083808689,5.5,6,0
7083808690,8.4,7,3
7083808691,7.8,6,2
7083808692,7.4,6,-1
7083808693,7.8,5,2
7083808694,6.9,2,0
7083808695,9.8,4,4
7083808696,6.2,4,2
7083808697,4.8,5,4
7083808698,5.5,4,1
7083808699,8.6,5,0
7083808700,5.2,5,2
7083808701,4.1,4,2
7083808702,3.8,2,3
7083808703,7.9,5,0
7083808704,8.7,6,3
7083808705,6.9,5,2
7083808706,7.2,6,0
7083808707,1.4,6,0
7083808708,5.8,5,2
7083808709,3.0,7,0
7083808710,7.4,6,3
7083808711,3.4,8,1
7083808712,4.7,3,0
7083808713,6.8,6,1
7083808714,5.9,5,2
7083808715,9.0,4,2
7083808716,6.7,7,-1
7083808717,4.3,5,4
7083808718,11.1,7,0
7083808719,9.1,4,3
7083808720,4.8,4,3
7083808721,7.0,5,-1
7083808722,1.6,4,0
7083808723,10.4,3,2
7083808724,3.9,7,0
7083808725,4.4,2,2
7083808726,9.1,7,0
7083808727,4.4,7,3
7083808728,3.9,7,2
7083808729,4.3,6,-1
7083808730,3.5,1,2
7083808731,7.2,9,1
7083808732,8.8,5,-1
7083808733,4.2,8,1
7083808734,10.2,1,3
7083808735,9.3,4,3
7083808736,5.7,6,1
7083808737,5.2,8,4
7083808738,9.7,6,1
7083808739,9.8,4,-2
7083808740,5.7,5,5
7083808741,6.9,5,0
7083808742,2.2,3,2
7083808743,8.5,7,1
7083808744,6.3,6,3
7083808745,5.5,4,4
7083808746,4.8,2,0
7083808747,3.2,6,2
7083808748,4.3,4,-1
7083808749,10.1,3,3
7083808750,9.9,9,1
7083808751,7.8,6,2
7083808752,8.1,5,3
7083808753,9.6,1,0
7083808754,4.5,1,2
7083808755,6.2,4,0
7083808756,7.5,7,1
7083808757,5.8,5,3
7083808758,2.6,5,0
7083808759,5.4,5,3
7083808760,8.0,6,-2
7083808761,3.5,5,2
7083808762,8.0,4,-1
7083808763,5.3,1,1
7083808764,1.9,8,4
7083808765,9.3,2,3
7083808766,3.0,3,3
7083808767,8.6,4,3
7083808768,7.7,7,0
7083808769,5.0,4,2
7083808770,6.2,6,2
7083808771,3.0,9,2
7083808772,5.5,5,2
7083808773,3.6,3,1
7083808774,7.2,6,0
7083808775,5.3,4,0
7083808776,7.3,8,3
7083808777,7.7,8,1
7083808778,7.0,7,1
7083808779,7.6,5,0
7083808780,3.5,9,1
7083808781,6.8,2,2
7083808782,1.5,5,2
7083808783,9.2,8,2
7083808784,10.0,7,4
7083808785,3.9,6,3
7083808786,4.5,4,3
7083808787,8.3,2,2
7083808788,9.4,5,2
7083808789,4.2,7,1
7083808790,8.4,5,0
7083808791,3.1,7,0
7083808792,4.8,2,0
7083808793,4.0,7,0
7083808794,5.7,7,3
7083808795,5.0,4,3
7083808796,6.5,2,-1
7083808797,4.5,4,1
7083808798,1.9,3,2
7083808799,5.3,5,3
7083808800,4.3,8,0
7083808801,4.1,7,0
7083808802,5.6,5,-1
7083808803,8.2,5,1
7083808804,5.5,2,2
7083808805,3.0,4,3
7083808806,9.3,4,2
7083808807,8.2,8,1
7083808808,7.0,4,3
7083808809,8.9,5,1
7083808810,9.2,6,-2
7083808811,8.2,6,2
7083808812,6.1,4,4
7083808813,6.0,5,4
7083808814,8.2,3,1
7083808815,6.5,5,0
7083808816,8.6,7,0
7083808817,9.2,6,0
7083808818,7.2,3,4
7083808819,5.5,6,4
7083808820,8.0,7,3
7083808821,8.6,8,2
7083808822,3.1,3,4
7083808823,5.2,3,2
7083808824,1.6,4,2
