Paket_id,Vikt,Förtjänst,Deadline
2241323125,2.2,7,3
2241323131,10.4,7,7
2241323132,0.3,8,4
2241323134,6.2,7,8
2241323135,2.5,2,2
2241323136,1.1,8,7
2241323142,5.2,6,7
2241323148,1.2,5,0
2241323154,5.5,6,9
2241323158,0.9,4,6
2241323164,0.6,4,8
2241323165,11.6,8,5
2241323166,2.8,3,5
2241323169,1.4,5,9
2241323171,7.8,5,8
2241323177,0.7,5,5
2241323183,6.4,6,7
2241323188,6.4,2,4
2241323189,4.4,6,5
2241323193,8.6,8,8
2241323198,6.4,8,-1
2241323199,4.0,1,7
2241323204,11.2,8,9
2241323209,4.6,9,9
2241323210,3.9,7,5
2241323213,11.6,8,6
2241323214,2.4,6,9
2241323219,3.7,3,4
2241323222,8.1,2,6
2241323227,2.6,5,0
2241323230,11.4,2,7
2241323231,2.0,6,3
2241323232,1.1,1,5
2241323234,2.9,6,5
2241323237,10.7,2,8
2241323239,5.9,4,8
2241323244,1.3,3,8
2241323245,4.5,7,3
2241323246,10.6,5,1
2241323249,4.3,2,9
2241323251,1.6,4,7
2241323252,7.8,1,4
2241323256,9.4,8,2
2241323261,2.2,5,6
2241323264,3.7,1,5
2241323270,0.6,6,8
2241323275,1.2,5,5
2241323279,9.2,4,0
2241323282,0.3,6,3
2241323283,7.6,9,3
2241323286,1.4,4,4
2241323290,11.3,4,0
2241323294,2.8,3,1
2241323296,4.9,1,-3
2241323299,2.7,5,5
2241323304,5.5,2,3
2241323305,2.8,4,6
2241323311,4.3,3,2
2241323317,8.9,2,-2
2241323319,2.7,6,5
2241323324,11.6,2,3
2241323330,10.0,8,6
2241323334,12.0,6,0
2241323340,0.9,3,6
2241323345,9.2,7,-3
2241323346,3.0,9,9
2241323350,3.5,4,7
2241323353,8.7,3,6
2241323354,2.5,5,5
2241323356,2.4,4,1
2241323358,2.6,5,9
2241323363,1.1,5,8
2241323366,6.5,1,9
2241323370,1.3,3,0
2241323376,2.7,6,0
2241323377,10.6,6,0
2241323380,1.2,3,9
2241323382,0.4,3,3
2241323388,1.0,6,0
2241323389,1.6,7,4
2241323391,8.9,9,2
2241323394,2.3,3,0
2241323399,9.4,3,4
2241323402,9.4,3,4
2241323403,10.7,4,3
2241323406,11.8,8,8
2241323410,1.9,5,2
2241323413,3.2,7,8
2241323417,2.2,5,2
2241323422,0.7,6,8
